news_id,author,title,description,url,urlToImage,content
30,"Joseph Goldstein","Hospital Workers Start to ‘Turn Against Each Other’ to Get Covid-19 Vaccine","“I am so disappointed and saddened that this happened,” a New York hospital executive wrote to his staff after workers who did not have priority cut the line for the vaccine.",https://www.nytimes.com/2020/12/24/nyregion/nyc-hospital-workers-covid-19-vaccine.html,https://static01.nyt.com/images/2020/12/23/nyregion/00nyvirus-vaccinerollout2/00nyvirus-vaccinerollout2-facebookJumbo.jpg,"People are going to fight over who goes first, or who doesnt go first, but the important thing is that its happening, Dr. Tallaj, the chairman of SOMOS Community Care, a network of clinics across New… [+1985 chars]"
31,"Ed Cara","The U.S. Just Secured Another 100 Million Doses of the Pfizer and BioNTech Covid-19 Vaccine","Americans will have more opportunities to get their hands on the authorized covid-19 vaccine developed by Pfizer and BioNTech. On Wednesday, the companies announced having reached a deal with the U.S. government with an additional 100 million doses by July 31…",https://gizmodo.com/the-u-s-just-secured-another-100-million-doses-of-the-1845939946,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/qp5xonvnflp1wgi1mgi7.jpg","Americans will have more opportunities to get their hands on the authorized covid-19 vaccine developed by Pfizer and BioNTech. On Wednesday, the companies announced having reached a deal with the U.S… [+2779 chars]"
32,"Dell Cameron","Treasury Department Warns of Increase in Covid-19 Vaccine-Related Fraud and Cybercrime","In a notice on Wednesday, the U.S. Treasury Department warned of an uptick in cyberattacks and scams linked to covid-19 vaccines, saying ransomware poses a particular threat as criminals search for ways to exploit the ongoing public health crisis. Read more...",https://gizmodo.com/treasury-department-warns-of-increase-in-covid-19-vacci-1845962633,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/lo6idhflhegpatlyfpss.jpg","In a notice on Wednesday, the U.S. Treasury Department warned of an uptick in cyberattacks and scams linked to covid-19 vaccines, saying ransomware poses a particular threat as criminals search for w… [+1468 chars]"
33,NULL,"Pfizer CEO explains why he hasn't received a vaccine yet","Pfizer CEO Albert Bourla speaks with CNN's Sanjay Gupta as the company prepares to roll out doses of the Pfizer-BioNTech Covid-19 vaccines in the US.",https://www.cnn.com/videos/health/2020/12/14/albert-bourla-pfizer-ceo-vaccine-rollout-covid-newday-vpx.cnn,https://cdn.cnn.com/cnnnext/dam/assets/201214072247-albert-bourla-pfizer-ceo-super-tease.jpg,NULL
34,NULL,"Rupert Murdoch gets vaccine as Fox News pushes misinformation","CNN's Brian Stelter and Oliver Darcy discuss Fox News' continued promotion of misinformation surrounding Covid-19 vaccinations, despite Rupert Murdoch himself receiving a dose earlier this week.",https://www.cnn.com/videos/media/2020/12/20/rupert-murdoch-covid-19-vaccination-fox-news-misinformation-rs-vpx.cnn,https://cdn.cnn.com/cnnnext/dam/assets/201105111139-02-fox-news-file-super-tease.jpg,NULL
35,"Ed Cara","The Best and Worst of the World's Covid-19 Response","On January 7, 2020, I wrote about a mysterious, pneumonia-causing viral illness making people sick in Wuhan, China. It was the first Gizmodo article about what eventually became known as covid-19, the second pandemic to strike humanity in the 21st century. It…",https://gizmodo.com/the-best-and-worst-of-the-worlds-covid-19-response-1845894539,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/ruqmanwlpi0hpfp5hxrb.png","On January 7, 2020, I wrote about a mysterious, pneumonia-causing viral illness making people sick in Wuhan, China. It was the first Gizmodo article about what eventually became known as covid-19, th… [+10253 chars]"
36,"Matt Novak","CDC Reports 550,000 Americans Have Received First Dose of Covid-19 Vaccine","Over 550,000 Americans have received their first dose of the vaccine against the coronavirus as of Sunday night, according to new figures released online by the Centers for Disease Control and Prevention. The number of vaccinated Americans is encouraging news…",https://gizmodo.com/cdc-reports-550-000-americans-have-received-first-dose-1845925182,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/tufrzj7tc7axjtemxolu.jpg","Over 550,000 Americans have received their first dose of the vaccine against the coronavirus as of Sunday night, according to new figures released online by the Centers for Disease Control and Preven… [+4382 chars]"
37,"Christina Maxouris, CNN","Covid-19 vaccine rollout was a moment of hope in pandemic's 'darkest days,' expert says. But the dark days aren't over","• Live updates: US Surgeon General says he is worried about vaccine skepticism among minority groups
• Farmworkers, firefighters and flight attendants jockey for vaccine priority
• Will bad weather hinder vaccine deliveries on the East Coast?",https://www.cnn.com/2020/12/15/health/us-coronavirus-tuesday/index.html,https://cdn.cnn.com/cnnnext/dam/assets/201214123438-17-pfizer-coronavirus-vaccine-1214-massachusetts-super-tease.jpg,"(CNN)For many Americans, Monday felt like a sigh of relief. After 10 nightmarish months, the first Covid-19 vaccinations began, a historic milestone in a brutal battle. 
"I never would have imagined… [+8035 chars]"
38,NULL,"Senate votes to pass $900 billion Covid-19 relief package","The House and Senate have passed a $900 billion Covid-19 relief package that promises to accelerate vaccine distribution and deliver much-needed aid to small businesses, Americans who have lost their jobs and health care workers on the front lines of the pand…",https://www.cnn.com/videos/politics/2020/12/22/house-senate-pass-coronavirus-relief-package-ctn-vpx.cnn,https://cdn.cnn.com/cnnnext/dam/assets/201021084007-capitol-hill-1020-super-tease.jpg,NULL
39,https://www.facebook.com/bbcnews,"Covid-19: White House officials to receive some of first Pfizer vaccines","Top officials are set to be given some of the first vaccines, which are being rolled out in the US.",https://www.bbc.co.uk/news/world-us-canada-55298015,https://ichef.bbci.co.uk/news/1024/branded_news/11C1/production/_116054540_gettyimages-1229767895-594x594.jpg,"media captionUS Covid vaccine: Three key questions answered
Senior members of the Trump administration will be among the first people to be vaccinated against coronavirus in the US, officials say.
… [+4645 chars]"
